Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
117,2.666993132152129e-05,2.2013142663653777e-06,3.0992599931778386e-05,2.502182724128943e-05
118,2.676872354641091e-05,2.205352428411068e-06,3.109761019004509e-05,2.510694866941776e-05
119,2.686745392566081e-05,2.2091750226070657e-06,3.120208566542715e-05,2.5192322937073186e-05
120,2.696618794288952e-05,2.212979589407019e-06,3.1306564778788015e-05,2.5277946406276897e-05
121,2.706472296267748e-05,2.2170324668342795e-06,3.14112076011952e-05,2.536291503929533e-05
122,2.716328999667894e-05,2.221027299008758e-06,3.151578130200505e-05,2.544838389439974e-05
123,2.7261830473435113e-05,2.2249900495252257e-06,3.162020948366262e-05,2.553353078837972e-05
124,2.7360438980394975e-05,2.2290706604334927e-06,3.1724979635328054e-05,2.561918336141389e-05
125,2.7458789190859534e-05,2.233247103959057e-06,3.182952059432864e-05,2.570401738921646e-05
126,2.755730092758313e-05,2.237393836952873e-06,3.1934177968651056e-05,2.5789426217670552e-05
127,2.765583740256261e-05,2.241513699541895e-06,3.203873711754568e-05,2.5874831408145837e-05
128,2.7754297479987145e-05,2.245616087329157e-06,3.214319804101251e-05,2.596029662527144e-05
129,2.785254837363027e-05,2.249658005350188e-06,3.224731335649267e-05,2.6045783670269884e-05
130,2.7951089214184323e-05,2.2539668495086673e-06,3.235222538933158e-05,2.6131403501494788e-05
131,2.804937721521128e-05,2.258239341569451e-06,3.24567336065229e-05,2.621668500069063e-05
132,2.8147638295195067e-05,2.2625679743284805e-06,3.256134004914202e-05,2.6302315745851956e-05
133,2.8245797875570133e-05,2.266837773506637e-06,3.2665742764947936e-05,2.6388006517663598e-05
134,2.834411716321483e-05,2.2711568008423492e-06,3.2770280085969716e-05,2.6473531761439517e-05
135,2.8442311668186447e-05,2.275414042074896e-06,3.287461004219949e-05,2.6559020625427365e-05
136,2.8540618586703204e-05,2.2798433903527115e-06,3.297937291790731e-05,2.6644836907507852e-05
137,2.8638666844926774e-05,2.284235169457093e-06,3.308371742605232e-05,2.6730087483883835e-05
138,2.8736819513142108e-05,2.2886051667821188e-06,3.318818562547676e-05,2.681594924069941e-05
139,2.8834738623118027e-05,2.2930350607007533e-06,3.3292471925960854e-05,2.6901498131337576e-05
