Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
48,2.679469034774229e-05,5.361378559655724e-06,3.7340385460993275e-05,2.3322267225012183e-05
49,2.6825513486983255e-05,5.345726137111199e-06,3.73356269847136e-05,2.3349795810645446e-05
50,2.685946601559408e-05,5.330884579688761e-06,3.733556150109507e-05,2.3381186110782437e-05
51,2.68965453869896e-05,5.316772131648854e-06,3.733997800736688e-05,2.341594336030539e-05
52,2.6936135327559896e-05,5.303629751613524e-06,3.7348665500758216e-05,2.3453747417079285e-05
53,2.6978395544574597e-05,5.291264802556948e-06,3.736162034329027e-05,2.3494792912970297e-05
54,2.7023178336094134e-05,5.279397129134257e-06,3.7377976696006954e-05,2.3538785171695054e-05
55,2.7070343276136554e-05,5.268383286496683e-06,3.7398389395093545e-05,2.3585564122186042e-05
56,2.7119763035443612e-05,5.257754169947265e-06,3.7421719753183424e-05,2.3635031539015472e-05
57,2.7171168039785697e-05,5.247874795115027e-06,3.7448451621457934e-05,2.3686661734245718e-05
58,2.7224427321925758e-05,5.238252315919942e-06,3.7477522710105404e-05,2.3740627511870116e-05
59,2.7279416462988594e-05,5.229131285708959e-06,3.750929681700654e-05,2.379651414230466e-05
60,2.7336359198670835e-05,5.220622930908482e-06,3.754418503376655e-05,2.385431253060233e-05
61,2.7394804783398284e-05,5.2122012836654904e-06,3.7580834032269195e-05,2.3914506527944468e-05
62,2.7454805967863648e-05,5.204328217821268e-06,3.762006599572487e-05,2.3976581360329874e-05
63,2.7516240152181126e-05,5.1967942506200985e-06,3.766136433114298e-05,2.4039984054979868e-05
64,2.7579182642512023e-05,5.189532366071079e-06,3.770473995245993e-05,2.4105331249302253e-05
65,2.7643445719149895e-05,5.18245203320437e-06,3.7749843613710254e-05,2.4172271878342144e-05
66,2.7708763809641823e-05,5.1757371249848865e-06,3.779667895287275e-05,2.424046215310227e-05
67,2.7775555281550623e-05,5.169175629777414e-06,3.7845347833354026e-05,2.431037137284875e-05
68,2.7843251882586628e-05,5.162920572174197e-06,3.7895511923125014e-05,2.438146657368634e-05
69,2.791208135022316e-05,5.156715893793743e-06,3.794689473579638e-05,2.4453684090985917e-05
70,2.7981879247818144e-05,5.150750227397919e-06,3.7999823689460754e-05,2.452729495416861e-05
71,2.8052657944499516e-05,5.144926088003413e-06,3.8054025935707614e-05,2.4602171833976172e-05
72,2.812420607369859e-05,5.13930893004066e-06,3.81094723707065e-05,2.4677738110767677e-05
73,2.8196670245961287e-05,5.133675652618724e-06,3.816588287008926e-05,2.4754894184297882e-05
74,2.8270153779885732e-05,5.128148886477701e-06,3.8223446608753875e-05,2.4833110728650354e-05
75,2.83442121144617e-05,5.1226968123374604e-06,3.8281938032014295e-05,2.4912151275202632e-05
76,2.8419143563951366e-05,5.117340513130229e-06,3.834147719317116e-05,2.4992321414174512e-05
77,2.8494611251517198e-05,5.11204337854925e-06,3.840180579572916e-05,2.5073066353797913e-05
78,2.857074359781109e-05,5.106708463634387e-06,3.846269828500226e-05,2.515453343221452e-05
79,2.8647712315432728e-05,5.101522439740198e-06,3.852492227451876e-05,2.5237464797100984e-05
80,2.8725280935759655e-05,5.096434084892263e-06,3.858794298139401e-05,2.532104372221511e-05
81,2.8803230088669805e-05,5.091078902059462e-06,3.865087273879908e-05,2.5405262931599282e-05
