Resolution,BC_a,BC_b,BC_c,BC_d,L2_Error,PDE_Error_Pred,PDE_Error_True
2x,-0.5,0.5,0.0,0.0,0.00015589820395689458,0.18320074677467346,0.18316830694675446
2x,-0.5,0.5,0.0,0.0,1.8716549675446004e-05,0.1831713169813156,0.18317048251628876
2x,-0.5,0.5,0.0,0.0,1.0954587196465582e-05,0.1831716001033783,0.18317045271396637
2x,-0.5,0.5,0.0,0.0,7.978082976478618e-06,0.1831670105457306,0.18317089974880219
2x,-0.5,0.5,0.0,0.0,4.762163007399067e-05,0.1831711083650589,0.18316850066184998
2x,-0.5,0.5,0.0,0.0,1.460332077840576e-05,0.18316854536533356,0.18317033350467682
2x,-0.5,0.5,0.0,0.0,6.738867523381487e-05,0.1831589639186859,0.18317139148712158
2x,-0.5,0.5,0.0,0.0,3.958568777306937e-05,0.18317751586437225,0.18317042291164398
2x,-0.5,0.5,0.0,0.0,1.3144892363925464e-05,0.18316969275474548,0.18317002058029175
2x,-0.5,0.5,0.0,0.0,6.0814465541625395e-05,0.18317705392837524,0.18316948413848877
2x,-0.5,0.5,0.0,0.0,9.893416972772684e-06,0.18317028880119324,0.1831696629524231
2x,-0.5,0.5,0.0,0.0,4.058097329107113e-05,0.18317316472530365,0.1831730306148529
2x,-0.5,0.5,0.0,0.0,1.3210934412200004e-05,0.1831739842891693,0.18316993117332458
2x,-0.5,0.5,0.0,0.0,9.638211849960499e-06,0.1831706017255783,0.18316958844661713
2x,-0.5,0.5,0.0,0.0,7.124750027287519e-06,0.1831720769405365,0.18316923081874847
2x,-0.5,0.5,0.0,0.0,8.582228474551812e-06,0.18317168951034546,0.1831696778535843
2x,-0.5,0.5,0.0,0.0,5.596240498562111e-06,0.18316805362701416,0.18317027390003204
2x,-0.5,0.5,0.0,0.0,1.1407523743400816e-05,0.18316832184791565,0.18316985666751862
2x,-0.5,0.5,0.0,0.0,1.0751154150057118e-05,0.18317048251628876,0.18316952884197235
2x,-0.5,0.5,0.0,0.0,9.323469384980854e-06,0.18316978216171265,0.18316932022571564
2x,-0.5,0.5,0.0,0.0,7.260589336510748e-05,0.18316210806369781,0.18316875398159027
2x,-0.5,0.5,0.0,0.0,0.00020638066052924842,0.18321813642978668,0.1831699013710022
2x,-0.5,0.5,0.0,0.0,7.404518328257836e-06,0.18317008018493652,0.18317003548145294
2x,-0.5,0.5,0.0,0.0,8.51026015880052e-06,0.18316875398159027,0.1831703931093216
2x,-0.5,0.5,0.0,0.0,3.194770761183463e-05,0.18316450715065002,0.18316981196403503
2x,-0.5,0.5,0.0,0.0,1.1056788935093209e-05,0.18316778540611267,0.18316864967346191
2x,-0.5,0.5,0.0,0.0,1.6290328858303837e-05,0.18317554891109467,0.1831711083650589
2x,-0.5,0.5,0.0,0.0,1.577770854055416e-05,0.18317502737045288,0.18317002058029175
2x,-0.5,0.5,0.0,0.0,2.387984022789169e-05,0.18316474556922913,0.18317033350467682
2x,-0.5,0.5,0.0,0.0,8.375378456548788e-06,0.18316984176635742,0.18317003548145294
2x,-0.5,0.5,0.0,0.0,5.723423328163335e-06,0.18316800892353058,0.18316997587680817
4x,-0.5,0.5,0.0,0.0,4.679582707467489e-05,0.17219211161136627,0.17217841744422913
4x,-0.5,0.5,0.0,0.0,0.00010080578795168549,0.1721927374601364,0.1721782684326172
4x,-0.5,0.5,0.0,0.0,4.292056109989062e-05,0.17218990623950958,0.17217834293842316
4x,-0.5,0.5,0.0,0.0,0.00011984995217062533,0.1721903532743454,0.17217829823493958
4x,-0.5,0.5,0.0,0.0,3.7560468626907095e-05,0.17218773066997528,0.1721780002117157
4x,-0.5,0.5,0.0,0.0,8.349712152266875e-05,0.1721898466348648,0.17217841744422913
4x,-0.5,0.5,0.0,0.0,4.5085049350745976e-05,0.17218653857707977,0.1721779704093933
4x,-0.5,0.5,0.0,0.0,7.339174044318497e-05,0.17219474911689758,0.17217828333377838
4x,-0.5,0.5,0.0,0.0,0.000196132852579467,0.1722220480442047,0.17217756807804108
4x,-0.5,0.5,0.0,0.0,5.303534635459073e-05,0.17219360172748566,0.1721782684326172
4x,-0.5,0.5,0.0,0.0,0.00011972160427831113,0.17218995094299316,0.1721782684326172
