Resolution,BC_a,BC_b,BC_c,BC_d,L2_Error,PDE_Error_Pred,PDE_Error_True
4x,-0.5,0.5,0.0,0.0,0.00013767718337476254,0.1721908301115036,0.1721782386302948
4x,-0.5,0.5,0.0,0.0,7.541290688095614e-05,0.17220176756381989,0.17217852175235748
4x,-0.5,0.5,0.0,0.0,5.10820173076354e-05,0.17219077050685883,0.17217841744422913
4x,-0.5,0.5,0.0,0.0,5.202044849283993e-05,0.17218875885009766,0.17217795550823212
4x,-0.5,0.5,0.0,0.0,7.307917258003727e-05,0.17219333350658417,0.17217831313610077
4x,-0.5,0.5,0.0,0.0,7.633604400325567e-05,0.17219199240207672,0.17217829823493958
4x,-0.5,0.5,0.0,0.0,5.3483850933844224e-05,0.1721935272216797,0.1721784919500351
4x,-0.5,0.5,0.0,0.0,6.625681271543726e-05,0.17219215631484985,0.17217814922332764
4x,-0.5,0.5,0.0,0.0,6.198359187692404e-05,0.17218849062919617,0.17217810451984406
4x,-0.5,0.5,0.0,0.0,5.192841854295693e-05,0.17218993604183197,0.17217829823493958
4x,-0.5,0.5,0.0,0.0,3.666355041787028e-05,0.17219068109989166,0.17217841744422913
4x,-0.5,0.5,0.0,0.0,0.00011461882968433201,0.17219208180904388,0.1721785068511963
4x,-0.5,0.5,0.0,0.0,7.180371176218614e-05,0.17217707633972168,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,0.0002131127257598564,0.17223294079303741,0.17217837274074554
4x,-0.5,0.5,0.0,0.0,6.940069579286501e-05,0.17219167947769165,0.1721782386302948
4x,-0.5,0.5,0.0,0.0,0.00010100807412527502,0.17218980193138123,0.1721782237291336
4x,-0.5,0.5,0.0,0.0,8.961412095231935e-05,0.17218539118766785,0.1721784472465515
4x,-0.5,0.5,0.0,0.0,5.730216435040347e-05,0.17219093441963196,0.17217864096164703
4x,-0.5,0.5,0.0,0.0,6.031213342794217e-05,0.17219401895999908,0.17217807471752167
4x,-0.5,0.5,0.0,0.0,3.8475376641144976e-05,0.17219460010528564,0.17217841744422913
4x,-0.5,0.5,0.0,0.0,4.838508539251052e-05,0.1721857339143753,0.17217828333377838
4x,-0.5,0.5,0.0,0.0,0.0001300969597650692,0.17219208180904388,0.17217843234539032
4x,-0.5,0.5,0.0,0.0,5.9661673731170595e-05,0.17219004034996033,0.17217834293842316
